ABS,ActiveSafetySysNote,AdaptiveCruiseControl,AdaptiveDrivingBeam,AdaptiveHeadlights,AdditionalErrorText,AirBagLocCurtain,AirBagLocFront,AirBagLocKnee,AirBagLocSeatCushion,AirBagLocSide,AutoReverseSystem,AutomaticPedestrianAlertingSound,AxleConfiguration,Axles,BasePrice,BatteryA,BatteryA_to,BatteryCells,BatteryInfo,BatteryKWh,BatteryKWh_to,BatteryModules,BatteryPacks,BatteryType,BatteryV,BatteryV_to,BedLengthIN,BedType,BlindSpotIntervention,BlindSpotMon,BodyCabType,BodyClass,BrakeSystemDesc,BrakeSystemType,BusFloorConfigType,BusLength,BusType,CAN_AACN,CIB,CashForClunkers,ChargerLevel,ChargerPowerKW,CoolingType,CurbWeightLB,CustomMotorcycleType,DaytimeRunningLight,DestinationMarket,DisplacementCC,DisplacementCI,DisplacementL,Doors,DriveType,DriverAssist,DynamicBrakeSupport,EDR,ESC,EVDriveUnit,ElectrificationLevel,EngineConfiguration,EngineCycles,EngineCylinders,EngineHP,EngineHP_to,EngineKW,EngineManufacturer,EngineModel,EntertainmentSystem,ErrorCode,ErrorText,ForwardCollisionWarning,FuelInjectionType,FuelTypePrimary,FuelTypeSecondary,GCWR,GCWR_to,GVWR,GVWR_to,KeylessIgnition,LaneCenteringAssistance,LaneDepartureWarning,LaneKeepSystem,LowerBeamHeadlampLightSource,Make,MakeID,Manufacturer,ManufacturerId,Model,ModelID,ModelYear,MotorcycleChassisType,MotorcycleSuspensionType,NCSABodyType,NCSAMake,NCSAMapExcApprovedBy,NCSAMapExcApprovedOn,NCSAMappingException,NCSAModel,NCSANote,NonLandUse,Note,OtherBusInfo,OtherEngineInfo,OtherMotorcycleInfo,OtherRestraintSystemInfo,OtherTrailerInfo,ParkAssist,PedestrianAutomaticEmergencyBraking,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Pretensioner,RearAutomaticEmergencyBraking,RearCrossTrafficAlert,RearVisibilitySystem,SAEAutomationLevel,SAEAutomationLevel_to,SeatBeltsAll,SeatRows,Seats,SemiautomaticHeadlampBeamSwitching,Series,Series2,SteeringLocation,SuggestedVIN,TPMS,TopSpeedMPH,TrackWidth,TractionControl,TrailerBodyType,TrailerLength,TrailerType,TransmissionSpeeds,TransmissionStyle,Trim,Trim2,Turbo,VIN,ValveTrainDesign,VehicleDescriptor,VehicleType,WheelBaseLong,WheelBaseShort,WheelBaseType,WheelSizeFront,WheelSizeRear,Wheels,Windows
Standard,,,,,,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,33195,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Coupe,,,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,,,5000.0,305.11872047366,5.0,2,,,Standard,,Standard,,,V-Shaped,,8,435,,,Ford,5.0L 4V Premium Fuel,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)",Standard,,,,,FORD,460,FORD MOTOR COMPANY,976,Mustang,1781,2017,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,FLAT ROCK,Flat Rock Assembly PLant,UNITED STATES (USA),MICHIGAN,,,,,Standard,,,Manual,2,4,Standard,GT Coupe,,Left-Hand Drive (LHD),,Direct,165,,Standard,Not Applicable,,Not Applicable,,,,,,1FA6P8CF5H5265800,,1FA6P8CF*H5,PASSENGER CAR,,107.1,,18,18,4,
Standard,,,,,,1st and 2nd and 3rd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,,,Standard,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4-Wheel ABS,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,3500.0,213.58310433156,3.5,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Standard,,Standard,,LED,NISSAN,478,"NISSAN NORTH AMERICA, INC.",997,Pathfinder,1911,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Front: 3-Point Manual Belts / Mid & Rear: 3-Point Manual Belts (Outboard/Center),,Standard,Standard,SMYRNA,Smyrna Plant,UNITED STATES (USA),TENNESSEE,,,Standard,Standard,Standard,,,Manual,3,8,Standard,,Wagon Body Style,,,Direct,,,Standard,Not Applicable,,Not Applicable,9,Automatic,S,,,5N1DR3AA7RC250598,,5N1DR3AA*RC,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),Driver Seat Only,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2500.0,152.55936023683,2.5,5,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,KMC,T-GDI Theta-III,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,KIA,499,"KIA GEORGIA, INC",20996,Sorento,2769,2024,Not Applicable,Not Applicable,,,,,,,,,,,Gasoline Direct Injection,,Seat Belt: All Positions,,,,WEST POINT,KaGA,UNITED STATES (USA),GEORGIA,,,,,,,,Manual,,,,EX/X-Line EX,Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,,,Yes,5XYRHDJF9RG258728,Dual Overhead Cam (DOHC),5XYRHDJF*RG,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2500.0,152.55936023683,2.5,5,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,,GDI THETA III,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,KIA,499,"KIA GEORGIA, INC",20996,Sportage,2770,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Seat Belt: All:Positions,,,,WEST POINT,KaGA,UNITED STATES (USA),GEORGIA,,,,,,,,Manual,,,,X-LINE,Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,5XYK6CDF6RG202680,Dual Overhead Cam (DOHC),5XYK6CDF*RG,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Kicks,22791,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,3-Point Manual Belts: Driver and Passenger / 3-Point Manual Belts: 2nd row outboard & center,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 1,MEXICO,AGUASCALIENTES,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SR,,,3N1CP5DV3RL524242,,3N1CP5DV*RL,PASSENGER CAR,,,,,,,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Kicks,22791,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,3-Point Manual Belts: Driver and Passenger / 3-Point Manual Belts: 2nd row outboard & center,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 1,MEXICO,AGUASCALIENTES,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SR,,,3N1CP5DV5RL503487,,3N1CP5DV*RL,PASSENGER CAR,,,,,,,
Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),Driver Seat Only,,1st Row (Driver and Passenger),Standard,,,,,,,,"Li-PB:240V, 6.5Ah",,,,,,240,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,,,,,,Standard,,HEV (Hybrid Electric Vehicle) - Level Unknown,,,4,104,,,KMC,GDI,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,Electric,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,Halogen,KIA,499,KIA CORPORATION,21994,Niro,15705,2022,Not Applicable,Not Applicable,,,,,,,,,,,Gasoline Direct Injection (GDI) / Motor: [3-phase AC]: 32 kW  ,,Seat Belt: All Positions,,,,HWASUNG,,SOUTH KOREA,,,,,,Standard,,,Manual,2,5,,"LX, LXS, LXS SE",Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,Automatic,Hybrid,,,KNDCB3LC3N5547899,Dual Overhead Cam (DOHC),KNDCB3LC*N5,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,2500.0,152.55936023683,2.5,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN NORTH AMERICA, INC.",997,Altima,1904,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Front: 3-Point Manual Belts / Rear: 3-Point Manual Belts (Outboard/Center),,Standard,Standard,CANTON,Canton Plant,UNITED STATES (USA),MISSISSIPPI,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SV,,,1N4BL4DV0RN407903,,1N4BL4DV*RN,PASSENGER CAR,,,,,,,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,2000.0,122.04748818946,2.0,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Sentra,1907,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,1st Row: 3-Point Manual Belts / 2nd Row: Outboard 3-Point Manual Belts & Center 3-Point Manual Belts,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 2,MEXICO,,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SR,,,3N1AB8DV7RY330033,,3N1AB8DV*RY,PASSENGER CAR,,,,,,,
,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2000.0,122.04748818946,2.0,4,,,,,,,,,,4,147,,,,MPI Nu,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,Multipoint Fuel Injection (MPFI),Gasoline,,,,"Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)",,,,,,KIA,499,KIA  MEXICO S.A. DE C.V.,21364,Forte,2462,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Seat Belt: All Positions,,,,,Kia Mexico S.A. De C.V.,MEXICO,,,,,,,,,Manual,,,,"LX, LXS",,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,3KPF24AD9RE772126,,3KPF24AD*RE,PASSENGER CAR,,,,,,,
